order_id,order_date,origin,destination,carrier,weight,volume,requested_delivery_date,actual_delivery_date,lead_time_days
27,2023-05-30,FactoryC,DC1,CarrierX,181.21,1.226,2023-06-08,2023-06-15,16
28,2022-01-27,FactoryA,DC3,CarrierX,190.21,1.579,2022-02-05,2022-02-10,14
29,2023-11-30,FactoryA,DC3,CarrierX,143.6,0.917,2023-12-08,2023-12-17,17
30,2023-07-27,FactoryA,DC1,CarrierY,113.41,0.479,2023-08-13,2023-08-22,26
31,2022-12-14,FactoryD,DC1,CarrierY,10.96,0.153,2022-12-27,2022-12-30,16
32,2022-11-10,FactoryB,DC5,CarrierZ,182.5,1.325,2022-11-28,2022-12-09,29
33,2022-10-12,FactoryB,DC1,CarrierY,53.74,0.317,2022-10-30,2022-11-09,28
34,2022-04-20,FactoryA,DC2,CarrierY,64.05,0.374,2022-04-23,2022-05-04,14
35,2022-03-17,FactoryC,DC4,CarrierX,57.9,0.194,2022-03-25,2022-03-27,10
36,2023-01-11,FactoryC,DC3,CarrierX,172.55,1.607,2023-01-26,2023-02-09,29
37,2023-01-17,FactoryA,DC2,CarrierW,189.31,0.671,2023-02-03,2023-02-06,20
38,2023-01-06,FactoryB,DC5,CarrierX,34.81,0.165,2023-01-11,2023-01-18,12
39,2022-05-15,FactoryA,DC5,CarrierX,7.8,0.045,2022-05-23,2022-05-25,10
40,2022-03-28,FactoryB,DC2,CarrierZ,129.81,0.785,2022-04-05,2022-04-17,20
41,2023-12-14,FactoryD,DC3,CarrierZ,40.55,0.158,2024-01-01,2024-01-11,28
42,2022-12-16,FactoryC,DC5,CarrierZ,133.66,0.721,2022-12-23,2022-12-27,11
43,2022-12-31,FactoryD,DC1,CarrierX,23.11,0.092,2023-01-11,2023-01-17,17
44,2023-03-07,FactoryC,DC3,CarrierY,184.77,0.897,2023-03-14,2023-03-24,17
45,2022-06-28,FactoryB,DC4,CarrierY,167.14,0.595,2022-07-11,2022-07-13,15
46,2022-04-11,FactoryC,DC3,CarrierY,41.45,0.248,2022-04-24,2022-05-01,20
47,2023-11-30,FactoryD,DC2,CarrierY,89.15,0.659,2023-12-09,2023-12-12,12
48,2022-03-19,FactoryA,DC3,CarrierY,168.81,1.178,2022-03-31,2022-04-07,19
49,2022-01-08,FactoryD,DC5,CarrierZ,157.36,0.795,2022-01-12,2022-01-22,14
50,2022-11-19,FactoryC,DC2,CarrierX,30.93,0.143,2022-12-07,2022-12-17,28
51,2023-12-13,FactoryD,DC4,CarrierX,154.98,2.698,2023-12-26,2024-01-04,22
52,2022-06-27,FactoryA,DC3,CarrierZ,136.77,0.533,2022-07-08,2022-07-17,20
53,2023-07-14,FactoryB,DC4,CarrierZ,76.15,0.254,2023-07-26,2023-07-29,15
54,2023-04-30,FactoryD,DC5,CarrierX,46.02,0.337,2023-05-10,2023-05-14,14
55,2023-06-17,FactoryA,DC5,CarrierY,115.6,1.806,2023-06-28,2023-06-30,13
56,2023-06-12,FactoryA,DC3,CarrierW,176.0,2.033,2023-06-23,2023-06-29,17
57,2022-05-22,FactoryB,DC4,CarrierX,160.77,1.431,2022-05-27,2022-06-02,11
58,2022-11-19,FactoryC,DC5,CarrierZ,40.21,0.538,2022-11-24,2022-12-03,14
59,2023-01-23,FactoryB,DC2,CarrierY,96.97,1.901,2023-02-02,2023-02-05,13
60,2022-02-01,FactoryB,DC2,CarrierX,198.25,0.909,2022-02-09,2022-02-23,22
61,2022-11-08,FactoryD,DC4,CarrierX,146.28,0.768,2022-11-27,2022-12-03,25
62,2022-05-28,FactoryB,DC2,CarrierY,165.37,0.997,2022-06-05,2022-06-18,21
63,2022-04-18,FactoryA,DC5,CarrierX,192.07,1.455,2022-04-30,2022-05-08,20
64,2023-04-26,FactoryD,DC5,CarrierZ,89.74,0.406,2023-05-10,2023-05-19,23
65,2023-09-16,FactoryA,DC5,CarrierX,57.18,0.212,2023-09-24,2023-10-04,18
66,2022-05-08,FactoryA,DC1,CarrierX,23.96,0.089,2022-05-15,2022-05-21,13
67,2022-05-19,FactoryA,DC4,CarrierZ,158.48,0.541,2022-05-29,2022-06-08,20
68,2023-05-21,FactoryB,DC1,CarrierZ,52.06,0.442,2023-05-31,2023-06-10,20
69,2023-09-22,FactoryD,DC1,CarrierX,160.85,0.935,2023-10-05,2023-10-13,21
70,2022-07-05,FactoryD,DC4,CarrierZ,140.41,1.291,2022-07-14,2022-07-25,20
71,2023-01-28,FactoryD,DC5,CarrierX,92.22,0.855,2023-02-15,2023-02-19,22
72,2022-05-05,FactoryC,DC2,CarrierX,118.39,0.67,2022-05-18,2022-05-23,18
73,2023-03-10,FactoryD,DC2,CarrierY,158.67,0.584,2023-03-19,2023-03-26,16
74,2022-01-13,FactoryA,DC5,CarrierY,107.78,0.475,2022-01-31,2022-02-06,24
75,2022-10-15,FactoryB,DC2,CarrierW,124.82,0.795,2022-10-21,2022-10-25,10
76,2022-11-12,FactoryB,DC2,CarrierX,94.41,0.336,2022-11-23,2022-11-26,14
77,2022-11-19,FactoryD,DC4,CarrierX,62.77,0.785,2022-11-28,2022-12-01,12
78,2022-10-15,FactoryA,DC5,CarrierZ,72.6,1.198,2022-10-24,2022-10-30,15
79,2022-08-24,FactoryC,DC2,CarrierW,136.34,1.029,2022-08-31,2022-09-09,16
80,2022-02-04,FactoryC,DC5,CarrierY,160.33,0.634,2022-02-11,2022-02-18,14
81,2023-01-30,FactoryB,DC4,CarrierY,74.4,0.605,2023-02-12,2023-02-16,17
82,2022-11-10,FactoryC,DC4,CarrierZ,156.95,2.141,2022-11-21,2022-11-29,19
83,2022-01-25,FactoryA,DC2,CarrierZ,189.43,0.924,2022-01-30,2022-02-02,8
84,2022-02-27,FactoryB,DC2,CarrierY,159.26,0.745,2022-03-10,2022-03-14,15
85,2023-05-28,FactoryA,DC4,CarrierX,197.24,1.139,2023-06-13,2023-06-16,19
86,2022-10-06,FactoryA,DC2,CarrierY,3.98,0.072,2022-10-22,2022-10-29,23
87,2022-09-29,FactoryC,DC2,CarrierZ,8.43,0.031,2022-10-15,2022-10-19,20
88,2022-12-01,FactoryD,DC3,CarrierX,117.94,0.399,2022-12-07,2022-12-09,8
89,2022-06-08,FactoryA,DC3,CarrierX,165.49,0.821,2022-06-16,2022-06-25,17
90,2023-07-18,FactoryD,DC5,CarrierX,119.72,0.923,2023-07-30,2023-08-06,19
91,2022-11-26,FactoryB,DC3,CarrierY,91.22,0.366,2022-12-10,2022-12-18,22
92,2022-08-17,FactoryD,DC5,CarrierX,149.07,0.537,2022-08-23,2022-08-31,14
93,2023-01-24,FactoryD,DC4,CarrierX,122.05,0.508,2023-02-05,2023-02-08,15
94,2022-03-19,FactoryC,DC5,CarrierY,83.02,0.459,2022-03-29,2022-04-08,20
95,2022-02-26,FactoryC,DC5,CarrierX,147.7,0.556,2022-03-08,2022-03-13,15
96,2023-01-08,FactoryB,DC5,CarrierZ,137.77,1.223,2023-01-18,2023-01-22,14
97,2022-07-05,FactoryB,DC4,CarrierY,11.21,0.11,2022-07-10,2022-07-12,7
98,2023-04-18,FactoryD,DC5,CarrierX,93.03,0.673,2023-04-24,2023-05-04,16
99,2023-03-12,FactoryC,DC2,CarrierX,190.89,1.81,2023-03-18,2023-03-28,16
100,2023-10-09,FactoryB,DC3,CarrierX,60.64,0.22,2023-10-24,2023-11-03,25
101,2022-12-27,FactoryA,DC2,CarrierX,151.78,0.522,2023-01-08,2023-01-15,19
102,2022-08-08,FactoryA,DC4,CarrierZ,30.28,0.147,2022-08-24,2022-09-01,24
103,2022-11-01,FactoryD,DC5,CarrierX,187.63,0.961,2022-11-14,2022-11-22,21
104,2023-11-15,FactoryC,DC5,CarrierZ,23.09,0.231,2023-11-24,2023-12-02,17
105,2022-02-27,FactoryD,DC2,CarrierX,85.5,1.131,2022-03-10,2022-03-24,25
106,2022-02-15,FactoryA,DC2,CarrierX,42.13,0.418,2022-02-27,2022-03-07,20
107,2022-02-24,FactoryB,DC3,CarrierY,26.65,0.11,2022-03-11,2022-03-15,19
108,2022-11-29,FactoryC,DC4,CarrierX,87.34,0.372,2022-12-18,2022-12-28,29
109,2023-12-06,FactoryC,DC2,CarrierZ,144.74,0.504,2023-12-10,2023-12-13,7
110,2023-11-18,FactoryA,DC5,CarrierX,147.86,0.559,2023-11-27,2023-11-29,11
111,2023-10-27,FactoryD,DC1,CarrierW,7.38,0.089,2023-11-12,2023-11-22,26
112,2022-06-03,FactoryB,DC4,CarrierZ,121.82,1.294,2022-06-20,2022-06-24,21
113,2023-02-05,FactoryA,DC2,CarrierX,38.16,0.337,2023-02-16,2023-02-21,16
114,2022-07-16,FactoryC,DC1,CarrierX,35.07,0.136,2022-07-20,2022-07-27,11
115,2023-04-19,FactoryC,DC1,CarrierY,5.68,0.02,2023-04-26,2023-05-02,13
116,2023-04-24,FactoryC,DC3,CarrierZ,57.29,0.251,2023-05-07,2023-05-09,15
117,2022-01-15,FactoryD,DC1,CarrierX,65.89,0.256,2022-01-27,2022-01-30,15
118,2023-05-23,FactoryD,DC4,CarrierX,110.37,0.7,2023-06-03,2023-06-05,13
119,2023-02-12,FactoryA,DC1,CarrierW,197.1,0.964,2023-02-17,2023-02-25,13
120,2023-12-21,FactoryC,DC2,CarrierX,102.06,0.725,2023-12-27,2024-01-05,15
121,2022-03-13,FactoryA,DC2,CarrierY,137.28,0.469,2022-03-26,2022-03-28,15
122,2022-03-08,FactoryA,DC3,CarrierY,27.76,0.396,2022-03-15,2022-03-28,20
123,2023-05-23,FactoryC,DC5,CarrierY,29.38,0.163,2023-06-06,2023-06-12,20
124,2023-09-27,FactoryA,DC1,CarrierY,6.88,0.04,2023-10-05,2023-10-10,13
125,2023-06-20,FactoryC,DC4,CarrierX,40.52,0.137,2023-07-02,2023-07-15,25
126,2023-07-09,FactoryB,DC3,CarrierY,40.08,0.185,2023-07-20,2023-07-24,15
127,2023-07-28,FactoryD,DC2,CarrierZ,174.21,3.399,2023-08-09,2023-08-16,19
128,2023-07-08,FactoryA,DC4,CarrierY,103.18,0.419,2023-07-16,2023-07-19,11
129,2022-04-25,FactoryD,DC3,CarrierX,115.7,1.327,2022-05-08,2022-05-11,16
130,2023-09-10,FactoryC,DC2,CarrierW,5.72,0.022,2023-09-24,2023-10-01,21
131,2023-08-13,FactoryD,DC1,CarrierX,155.81,2.586,2023-08-23,2023-08-29,16
132,2023-10-15,FactoryB,DC5,CarrierZ,138.03,0.608,2023-10-20,2023-10-26,11
133,2023-03-16,FactoryD,DC1,CarrierW,3.82,0.014,2023-03-30,2023-04-03,18
134,2022-03-04,FactoryD,DC1,CarrierZ,172.93,0.588,2022-03-16,2022-03-25,21
135,2023-06-13,FactoryC,DC1,CarrierY,33.8,0.161,2023-06-20,2023-06-30,17
136,2022-09-05,FactoryD,DC3,CarrierZ,145.81,0.519,2022-09-22,2022-09-27,22
137,2023-03-30,FactoryB,DC5,CarrierZ,118.08,1.342,2023-04-07,2023-04-15,16
138,2023-11-22,FactoryC,DC1,CarrierY,134.23,0.54,2023-12-04,2023-12-13,21
139,2022-01-14,FactoryA,DC4,CarrierZ,46.11,0.445,2022-01-27,2022-01-30,16
140,2022-05-15,FactoryD,DC5,CarrierY,112.72,0.688,2022-05-19,2022-05-29,14
141,2022-12-11,FactoryC,DC3,CarrierY,31.38,0.187,2022-12-24,2022-12-29,18
142,2022-08-26,FactoryD,DC3,CarrierX,144.76,2.414,2022-09-08,2022-09-22,27
143,2022-03-25,FactoryD,DC4,CarrierX,64.67,1.054,2022-04-02,2022-04-10,16
144,2023-02-02,FactoryC,DC1,CarrierZ,175.52,0.742,2023-02-15,2023-02-22,20
145,2022-02-07,FactoryB,DC1,CarrierZ,146.61,2.353,2022-02-23,2022-02-27,20
146,2022-08-08,FactoryB,DC5,CarrierY,4.46,0.026,2022-08-16,2022-08-24,16
147,2023-08-08,FactoryB,DC1,CarrierX,137.21,1.06,2023-08-25,2023-08-29,21
148,2022-02-18,FactoryD,DC2,CarrierW,156.1,1.854,2022-03-03,2022-03-08,18
149,2023-04-28,FactoryC,DC3,CarrierY,44.69,0.453,2023-05-06,2023-05-09,11
150,2023-03-06,FactoryA,DC2,CarrierY,52.44,0.254,2023-03-17,2023-03-22,16
151,2022-05-20,FactoryC,DC4,CarrierW,102.91,0.843,2022-06-04,2022-06-08,19
152,2022-12-14,FactoryD,DC4,CarrierX,156.72,0.523,2022-12-27,2023-01-02,19
153,2023-10-13,FactoryB,DC3,CarrierX,11.62,0.052,2023-10-18,2023-10-30,17
154,2022-04-16,FactoryC,DC5,CarrierZ,176.96,3.439,2022-05-01,2022-05-05,19
155,2023-01-18,FactoryA,DC2,CarrierX,135.06,0.853,2023-01-30,2023-02-12,25
156,2022-02-21,FactoryB,DC5,CarrierX,91.09,0.439,2022-03-09,2022-03-17,24
157,2022-10-04,FactoryB,DC4,CarrierY,110.65,0.923,2022-10-14,2022-10-18,14
158,2022-04-27,FactoryA,DC2,CarrierY,168.81,1.918,2022-05-06,2022-05-10,13
159,2023-11-09,FactoryA,DC5,CarrierX,143.78,0.843,2023-11-17,2023-11-27,18
160,2023-01-14,FactoryB,DC3,CarrierX,97.28,0.732,2023-01-21,2023-01-26,12
161,2022-08-28,FactoryC,DC4,CarrierZ,187.98,2.267,2022-09-07,2022-09-12,15
162,2022-04-25,FactoryC,DC1,CarrierY,50.73,0.831,2022-05-04,2022-05-13,18
163,2023-12-14,FactoryD,DC5,CarrierX,149.9,1.153,2023-12-26,2023-12-31,17
164,2022-09-18,FactoryB,DC1,CarrierX,78.5,0.313,2022-10-02,2022-10-16,28
165,2022-12-06,FactoryB,DC3,CarrierZ,30.63,0.325,2022-12-11,2022-12-19,13
166,2022-07-23,FactoryA,DC1,CarrierZ,94.33,0.363,2022-07-29,2022-08-08,16
167,2022-09-30,FactoryD,DC1,CarrierX,77.66,0.384,2022-10-08,2022-10-18,18
168,2023-11-18,FactoryC,DC1,CarrierZ,88.69,0.333,2023-12-04,2023-12-10,22
169,2023-06-10,FactoryA,DC2,CarrierX,84.87,0.456,2023-06-28,2023-07-01,21
170,2022-12-15,FactoryC,DC4,CarrierY,42.26,0.151,2022-12-31,2023-01-06,22
171,2022-05-25,FactoryA,DC4,CarrierX,71.16,0.577,2022-06-11,2022-06-19,25
172,2023-07-25,FactoryD,DC1,CarrierY,16.98,0.133,2023-08-02,2023-08-08,14
173,2022-11-07,FactoryA,DC5,CarrierX,147.52,0.5,2022-11-15,2022-11-21,14
174,2023-03-09,FactoryA,DC5,CarrierY,10.28,0.048,2023-03-14,2023-03-24,15
175,2023-10-29,FactoryA,DC4,CarrierX,21.11,0.071,2023-11-06,2023-11-15,17
176,2023-04-14,FactoryD,DC5,CarrierX,188.18,1.043,2023-04-30,2023-05-04,20
177,2022-01-17,FactoryB,DC3,CarrierY,111.35,0.983,2022-01-28,2022-01-31,14
178,2023-11-27,FactoryD,DC5,CarrierX,131.04,0.968,2023-12-02,2023-12-04,7
179,2023-07-23,FactoryB,DC4,CarrierX,112.85,1.033,2023-08-03,2023-08-11,19
180,2022-04-05,FactoryB,DC2,CarrierY,161.57,2.508,2022-04-20,2022-04-23,18
181,2022-05-17,FactoryB,DC5,CarrierY,3.41,0.027,2022-06-03,2022-06-11,25
182,2022-04-10,FactoryA,DC1,CarrierY,47.65,0.171,2022-04-24,2022-04-29,19
183,2022-04-03,FactoryC,DC3,CarrierX,59.37,0.285,2022-04-09,2022-04-13,10
184,2023-05-08,FactoryB,DC4,CarrierY,74.54,0.936,2023-05-20,2023-05-28,20
185,2022-06-04,FactoryD,DC1,CarrierW,69.01,0.356,2022-06-19,2022-06-24,20
186,2023-04-05,FactoryB,DC4,CarrierZ,36.59,0.155,2023-04-20,2023-04-23,18
187,2022-10-02,FactoryD,DC3,CarrierX,26.14,0.1,2022-10-17,2022-10-19,17
188,2022-07-12,FactoryC,DC1,CarrierX,138.6,0.964,2022-07-21,2022-07-26,14
189,2022-04-09,FactoryD,DC5,CarrierZ,182.22,0.867,2022-04-17,2022-04-20,11
190,2022-10-23,FactoryC,DC1,CarrierX,63.92,0.348,2022-11-06,2022-11-16,24
191,2023-03-13,FactoryC,DC1,CarrierY,4.66,0.018,2023-03-25,2023-04-01,19
192,2023-04-11,FactoryD,DC2,CarrierZ,104.59,0.891,2023-04-19,2023-04-22,11
193,2023-04-24,FactoryA,DC2,CarrierX,183.17,0.974,2023-05-07,2023-05-16,22
194,2023-12-10,FactoryA,DC3,CarrierY,108.73,0.395,2023-12-24,2023-12-29,19
195,2023-08-24,FactoryC,DC1,CarrierZ,76.56,0.408,2023-09-01,2023-09-03,10
196,2022-03-31,FactoryB,DC3,CarrierX,112.51,0.61,2022-04-15,2022-04-19,19
197,2023-07-17,FactoryD,DC3,CarrierY,131.37,2.08,2023-07-29,2023-08-04,18
198,2022-10-05,FactoryD,DC4,CarrierX,61.41,0.211,2022-10-19,2022-10-26,21
199,2022-05-19,FactoryB,DC5,CarrierY,137.5,1.411,2022-06-01,2022-06-04,16
200,2022-06-18,FactoryB,DC4,CarrierX,188.36,1.429,2022-07-02,2022-07-10,22
201,2022-07-03,FactoryC,DC5,CarrierW,81.43,0.283,2022-07-12,2022-07-21,18
202,2022-08-02,FactoryD,DC4,CarrierX,9.11,0.044,2022-08-12,2022-08-19,17
203,2023-01-07,FactoryC,DC3,CarrierZ,162.81,1.533,2023-01-18,2023-01-30,23
204,2022-08-11,FactoryD,DC5,CarrierX,123.78,0.467,2022-08-18,2022-08-23,12
205,2022-12-05,FactoryC,DC2,CarrierZ,133.61,0.757,2022-12-13,2022-12-22,17
206,2023-07-31,FactoryA,DC5,CarrierZ,24.38,0.158,2023-08-07,2023-08-18,18
207,2023-10-13,FactoryC,DC2,CarrierX,89.32,0.324,2023-10-28,2023-11-14,32
208,2023-05-23,FactoryD,DC4,CarrierW,173.96,1.151,2023-06-05,2023-06-08,16
209,2023-04-14,FactoryC,DC5,CarrierX,71.97,0.403,2023-04-19,2023-04-22,8
210,2023-11-20,FactoryD,DC2,CarrierZ,199.31,0.739,2023-12-01,2023-12-11,21
211,2022-07-16,FactoryC,DC4,CarrierZ,24.28,0.206,2022-07-28,2022-07-31,15
212,2022-10-11,FactoryC,DC4,CarrierW,69.27,0.242,2022-10-30,2022-11-06,26
213,2022-07-30,FactoryA,DC1,CarrierY,173.91,0.683,2022-08-09,2022-08-20,21
214,2023-07-13,FactoryD,DC5,CarrierX,180.62,0.673,2023-07-20,2023-07-26,13
215,2023-04-28,FactoryA,DC1,CarrierX,117.83,0.472,2023-05-05,2023-05-13,15
216,2022-10-02,FactoryA,DC1,CarrierY,115.25,0.498,2022-10-13,2022-10-19,17
217,2022-07-26,FactoryC,DC1,CarrierY,104.07,0.633,2022-08-01,2022-08-11,16
218,2023-06-20,FactoryB,DC3,CarrierY,195.0,3.211,2023-07-06,2023-07-15,25
219,2022-02-24,FactoryD,DC2,CarrierY,132.0,1.212,2022-03-03,2022-03-07,11
220,2022-01-28,FactoryC,DC3,CarrierX,36.6,0.153,2022-02-07,2022-02-09,12
221,2023-07-19,FactoryC,DC5,CarrierX,112.99,0.417,2023-07-24,2023-08-03,15
222,2022-05-01,FactoryA,DC4,CarrierX,34.42,0.166,2022-05-14,2022-05-24,23
223,2022-12-05,FactoryD,DC2,CarrierZ,152.05,1.209,2022-12-21,2022-12-23,18
224,2023-10-27,FactoryD,DC5,CarrierW,30.02,0.41,2023-11-02,2023-11-10,14
225,2023-07-28,FactoryB,DC4,CarrierW,168.58,0.614,2023-08-03,2023-08-11,14
226,2022-12-12,FactoryA,DC5,CarrierX,15.74,0.069,2022-12-23,2022-12-31,19
227,2022-05-24,FactoryD,DC5,CarrierZ,175.52,1.151,2022-06-04,2022-06-16,23
228,2023-02-07,FactoryC,DC5,CarrierX,137.75,0.492,2023-02-11,2023-02-25,18
229,2022-07-07,FactoryC,DC1,CarrierX,155.67,0.577,2022-07-13,2022-07-22,15
230,2022-09-09,FactoryB,DC1,CarrierX,124.91,0.486,2022-09-17,2022-09-19,10
231,2023-11-11,FactoryC,DC2,CarrierX,98.83,0.863,2023-11-21,2023-11-30,19
232,2023-02-11,FactoryB,DC1,CarrierZ,163.56,3.175,2023-02-16,2023-02-24,13
233,2023-09-25,FactoryB,DC5,CarrierZ,82.99,0.444,2023-10-13,2023-10-19,24
234,2022-05-27,FactoryD,DC2,CarrierZ,42.38,0.471,2022-06-04,2022-06-11,15
235,2022-12-06,FactoryC,DC4,CarrierX,108.51,0.734,2022-12-22,2022-12-29,23
236,2022-10-11,FactoryC,DC5,CarrierX,184.64,1.79,2022-10-18,2022-10-23,12
237,2023-03-22,FactoryD,DC5,CarrierX,153.05,1.654,2023-03-29,2023-04-07,16
238,2022-07-09,FactoryD,DC2,CarrierX,127.3,0.529,2022-07-14,2022-07-24,15
239,2022-07-05,FactoryC,DC1,CarrierW,54.98,0.926,2022-07-12,2022-07-17,12
240,2023-10-16,FactoryA,DC4,CarrierX,186.91,1.286,2023-10-28,2023-11-07,22
241,2022-04-10,FactoryA,DC2,CarrierZ,65.46,0.499,2022-04-26,2022-04-30,20
242,2022-04-29,FactoryB,DC3,CarrierY,122.37,2.111,2022-05-15,2022-05-24,25
243,2022-06-29,FactoryC,DC5,CarrierX,63.67,0.219,2022-07-16,2022-07-18,19
244,2023-10-08,FactoryC,DC3,CarrierY,86.36,1.171,2023-10-20,2023-10-26,18
245,2022-03-16,FactoryB,DC1,CarrierX,163.79,2.96,2022-03-21,2022-03-24,8
246,2022-09-26,FactoryA,DC2,CarrierX,160.75,0.986,2022-10-09,2022-10-18,22
247,2023-10-25,FactoryA,DC3,CarrierX,113.06,1.108,2023-10-31,2023-11-10,16
248,2022-01-17,FactoryB,DC4,CarrierZ,102.81,0.546,2022-01-23,2022-01-31,14
249,2023-07-08,FactoryA,DC3,CarrierX,129.37,0.626,2023-07-16,2023-07-24,16
250,2022-10-01,FactoryD,DC5,CarrierX,110.32,0.404,2022-10-06,2022-10-13,12
251,2023-03-29,FactoryD,DC3,CarrierZ,19.09,0.086,2023-04-13,2023-04-21,23
252,2023-12-05,FactoryB,DC3,CarrierZ,114.7,1.201,2023-12-13,2023-12-22,17
253,2023-01-06,FactoryD,DC2,CarrierX,81.71,0.591,2023-01-11,2023-01-27,21
254,2023-08-21,FactoryD,DC2,CarrierX,155.02,1.237,2023-08-26,2023-09-01,11
255,2023-06-06,FactoryC,DC1,CarrierZ,173.44,2.116,2023-06-15,2023-06-19,13
256,2023-02-18,FactoryB,DC3,CarrierX,97.53,0.888,2023-02-24,2023-03-06,16
257,2022-12-25,FactoryC,DC2,CarrierW,60.07,0.328,2022-12-31,2023-01-02,8
258,2022-10-18,FactoryD,DC3,CarrierY,98.32,1.851,2022-10-28,2022-11-01,14
259,2023-12-13,FactoryA,DC1,CarrierY,19.2,0.354,2023-12-22,2023-12-31,18
260,2023-04-02,FactoryB,DC2,CarrierW,11.48,0.102,2023-04-11,2023-04-16,14
261,2022-02-10,FactoryB,DC4,CarrierY,78.57,0.369,2022-02-22,2022-02-28,18
262,2023-07-24,FactoryA,DC3,CarrierY,10.95,0.105,2023-07-31,2023-08-06,13
263,2022-04-15,FactoryB,DC2,CarrierW,41.26,0.236,2022-04-20,2022-04-28,13
264,2022-01-28,FactoryB,DC1,CarrierY,163.37,1.751,2022-02-06,2022-02-14,17
265,2022-02-27,FactoryD,DC3,CarrierW,109.17,0.392,2022-03-15,2022-03-20,21
266,2023-05-04,FactoryC,DC4,CarrierY,74.92,0.392,2023-05-18,2023-05-27,23
267,2023-05-20,FactoryB,DC3,CarrierZ,156.97,1.522,2023-05-30,2023-06-02,13
268,2022-04-02,FactoryD,DC3,CarrierX,177.01,0.888,2022-04-10,2022-04-20,18
269,2023-12-22,FactoryD,DC2,CarrierZ,194.7,0.819,2024-01-05,2024-01-11,20
270,2023-02-15,FactoryB,DC2,CarrierX,102.23,0.521,2023-02-27,2023-03-04,17
271,2023-10-26,FactoryB,DC5,CarrierX,23.47,0.099,2023-10-31,2023-11-02,7
272,2022-10-29,FactoryB,DC2,CarrierY,79.57,0.384,2022-11-03,2022-11-05,7
273,2023-11-26,FactoryB,DC2,CarrierZ,180.65,0.629,2023-12-07,2023-12-09,13
274,2023-03-18,FactoryD,DC1,CarrierX,102.52,0.374,2023-03-31,2023-04-06,19
275,2022-06-15,FactoryA,DC3,CarrierX,77.5,0.316,2022-06-20,2022-06-24,9
276,2022-10-04,FactoryC,DC2,CarrierY,67.16,0.296,2022-10-18,2022-10-22,18
277,2022-10-10,FactoryD,DC2,CarrierX,98.92,0.464,2022-10-16,2022-10-19,9
278,2023-03-04,FactoryA,DC3,CarrierW,183.52,1.074,2023-03-23,2023-04-02,29
279,2022-11-15,FactoryC,DC2,CarrierY,123.46,0.843,2022-11-29,2022-12-09,24
280,2022-11-24,FactoryA,DC5,CarrierX,49.79,0.495,2022-11-30,2022-12-02,8
281,2022-11-09,FactoryA,DC1,CarrierY,178.16,1.112,2022-11-21,2022-11-29,20
282,2022-03-15,FactoryA,DC1,CarrierX,8.26,0.047,2022-03-26,2022-03-30,15
